,date,year,month,day,content,replies,retweet,likes
84,2020-04-05 08:28:28,2020,4,5,sudah berapa lama anda diam di rumah minggu tiga minggu lama itu bagi kita mungkin nikmat kumpul sama keluarga bagi rasa bosan tapi itu cara baik ambil peran putus mata rantai pandemi covid bagaimana atas bosan itu,2861,3978,19361
85,2020-04-03 13:50:05,2020,4,3,untuk itu perlu langkahlangkah baik yang seluruh dalam dunia didik di indonesia ini baik aspek atur regulasi anggar infrastruktur manajemen sekolah maupun masalah kualitas dan beban administratif guru,177,292,3252
86,2020-04-03 13:49:38,2020,4,3,acu pada survei pisa programme for international student assessment indonesia milik tiga soal didik yakni besar persentase murid prestasi rendah tinggi persentase siswa ulang kelas dan tinggi tingkat ketidakhadiran siswa di kelas,162,362,3500
87,2020-04-03 13:49:16,2020,4,3,tiada uji nasional untuk putus mata rantai sebar covid jadi momentum bagi perintah untuk evaluasi standar didik dasar dan tengah cara nasional,825,1942,17210
88,2020-04-03 13:36:28,2020,4,3,tapi itu bum cukup masih dapat desa yang belum listrik di antara desa di tanah air yang sebar di papua papua barat ntt dan malu saya minta jajar perintah kait untuk segera identifikasi desadesa sebut dan selesai,142,248,2479
89,2020-04-03 13:36:07,2020,4,3,saat warga kerja dari rumah ajar dari rumah ibadah di rumah kita syukur bahwa rasio elektrifikasi indonesia makin tingkat tahun ke tahun hingga april rasio sebut telah capai angka lampau target rpjmn besar,483,1103,10144
90,2020-04-02 17:39:23,2020,4,2,ramadan tahun ini kita akan lalu saat kita usaha cegah luas sebar covid siap harus sejak dini utama soal sedia bahan pokok dan pangan di tengah masyarakat jauh ini pasok beras daging telur gula terigu dll masih baik,1965,2701,20094
91,2020-04-02 10:22:44,2020,4,2,pandemi covid bukan hanya bawa masalah sehat masyarakat tetapi juga implikasi ekonomi yang sangat luas karena itu tiap bijak perintah dalam tanggulang pandemi ini di tanah air senantiasa hitung hidup ekonomi masyarakat,830,2000,9923
92,2020-04-02 08:21:53,2020,4,2,lihat dari dekat fasilitas observasi tampung dan karantina untuk kendali covid di pulau galang km dari kota batam fasilitas yang rencana awal maret kemarin ini siap untuk operasi paling lambat senin depan,659,2320,12982
93,2020-04-01 20:16:17,2020,4,1,tinjau bangun fasilitas kendali infeksi sakit tular di pulau galang km dari batam siang ini kapasitas bangun tempat tidur yang dalam situasi saat ini untuk rawat dan isolasi pasien covid insya allah sudah siap hari senin depan,709,1668,11096
94,2020-04-01 14:09:53,2020,4,1,dari pangkal tni au halim perdanakusuma pukul puluh pagi ini saya terbang tuju bandara hang nadim batam dari hang nadim saya akan langsung ke pulau galang km dari bandara untuk lihat kesiap rumah sakit darurat tangan covid yang bangun di sana,748,1115,10032
95,2020-04-01 12:24:12,2020,4,1,perppu ini beri fondasi bagi perintah bagi otoritas perban dan bagi otoritas uang untuk laku langkahlangkah luar biasa dalam jamin sehat masyarakat selamat ekonomi nasional dan stabilitas sistem uang,146,407,3149
96,2020-04-01 12:23:47,2020,4,1,pandemi covid bukan hanya bawa masalah sehat masyarakat tetapi juga implikasi ekonomi yang sangat luas karena itu saya menandatangani perppu tentang bijak uang negara dan stabilitas sistem uang,1003,2997,17112
97,2020-03-31 20:18:51,2020,3,31,polri juga dapat ambil langkahlangkah tega hukum yang ukur dan sesuai undangundang agar psbb dapat laku cara efektif dan capai tuju cegah luas wabah,115,307,1770
98,2020-03-31 20:18:17,2020,3,31,perintah sudah terbit pp dan keppres untuk laksana amanat uu sebut para kepala daerah saya minta tidak buat bijak sendirisendiri yang tidak koordinasi semua bijak di daerah harus ada dalam koridor undangundang dan pp serta keppres sebut,181,450,2768
99,2020-03-31 20:18:03,2020,3,31,hadap wabah covid ini perintah tetap status darurat sehat masyarakat untuk atas opsi yang kita pilih adalah batas sosial skala besar atau psbb sesuai uu no tahun tentang karantina sehat,729,2139,11004
100,2020-03-31 19:18:30,2020,3,31,dua kita siap jaring kam sosial untuk masyarakat lapis bawah agar tetap mampu penuh butuh pokok dan jaga daya beli tiga jaga dunia usaha utama umkm tetap operasi,218,445,3192
101,2020-03-31 19:18:17,2020,3,31,hitung karakter negara kita hadap covid ini bijak perintah sangat jelas pertama sehat masyarakat adalah yang utama kita usaha kendali sebar covid dan obat pasien yang papar,688,2080,13793
102,2020-03-30 18:48:13,2020,3,30,saya telah perintah kepada jajar kait agar utama produk dalam negeri turut data yang saya terima ada usaha produsen apd di negara kita untuk dukung produksi apd sebut saya juga minta agar impor bahan baku mudah,347,365,3159
103,2020-03-30 18:47:33,2020,3,30,pekan lalu perintah pusat telah kirim alat lindung diri ke seluruh provinsi untuk kirim lagi ke rumahrumah sakit yang ada di daerah akan tetapi indonesia masih butuh sekitar juta apd hingga akhir mei karena itu kita usaha cepat ada apd,1062,2007,13019
104,2020-03-30 18:24:58,2020,3,30,saya perintah jajar kait perhati sedia alat tes cepat pcr polymerase chain reaction dan vtm viral transport media demi cepat periksa di laboratorium untuk rapid test tenaga sehat keluarga khusus status odp agar prioritas,496,1199,8010
105,2020-03-30 15:29:37,2020,3,30,untuk keluargakeluarga yang telanjur mudik ini saya minta para gubernur bupati dan wali kota untuk tingkat awas dan terap protokol sehat yang ketat hanya saja screening yang laku jangan sampai lebih,583,768,5154
106,2020-03-30 15:29:03,2020,3,30,delapan hari akhir ada bus antarprovinsi yang bawa an tumpang dari jabodetabek ke provinsi lain di jawa belum masuk yang guna kereta api kapal pesawat dan mobil pribadi mobilitas orang besar itu sangat risiko luas sebar covid,3616,4590,24325
107,2020-03-29 08:59:00,2020,3,29,apa itu isolasi mandiri mengapa hari apa yang boleh dan tidak boleh laku lama isolasi mandiri ini protokol dasar isolasi mandiri dalam tangan covid yang ramu dari sumber resmi who dan para ahli sehat,287,1177,4139
108,2020-03-29 08:56:38,2020,3,29,apa itu isolasi mandiri mengapa hari apa yang boleh dan tidak boleh laku lama isolasi mandiri ini protokol dasar isolasi mandiri dalam tangan covid yang ramu dari sumber resmi who dan para ahli sehat,201,1330,4850
109,2020-03-29 08:51:39,2020,3,29,apa itu isolasi mandiri mengapa hari apa yang boleh dan tidak boleh laku lama isolasi mandiri ini protokol dasar isolasi mandiri dalam tangan covid yang ramu dari sumber resmi who dan para ahli sehat,1836,9381,23945
110,2020-03-28 09:19:12,2020,3,28,beberapa yang perlu kita jadi biasa lama pandemi korona belum lalu tidak sulit terap hanya butuh disiplin yang kuat jaga jarak karena kita saling jaga,2734,10072,37941
111,2020-03-26 21:43:59,2020,3,26,dalam ktt ini saya ajak para pimpin negara g untuk bersamasama menang dua peperangan yaitu lawan covid dan lawan lemah ekonomi dunia untuk itu g harus aktif pimpin upaya temu antivirus dan obat covid tentu sama who,884,2007,14308
112,2020-03-26 21:43:32,2020,3,26,dari istana bogor pukul tujuh malam ini saya ikut ktt luar biasa g yang bahas upaya tangan covid ktt ini gelar cara virtual dan ikut negara anggota g negara undang organisasi internasional dan organisasi regional,9511,17580,88986
113,2020-03-25 21:15:40,2020,3,25,telah pulang ke hadirat allah swt ibunda kami hj sudjiatmi notomihardjo pukul sore tadi di rs dkt surakarta karena sakit yang telah idap lama empat tahun ini mohon doa dari jauh moga segala dosa almarhumah ampun oleh allah swt amin ya rabbal alamin,17528,41163,170083
